id,datum_zahajeni,omezeni_dodavky,nahradni_zasobovani,obec,ulice,datum_ukonceni,poznamka,longitude,latitude,ObjectId,GlobalID,x,y
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.66995283,49.18941703,93,18b30359-7da0-4be4-9e89-462281d1ec33,1855690.66058349,6307062.83052885
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.59415532,49.25723321,94,b0abd85a-470c-4236-a92b-b8b6d599fc45,1847252.92036689,6318621.736034
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.59428876,49.2574026,95,67810488-1ce9-4d2c-a849-8b4526cf2886,1847267.77483974,6318650.62752753
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.59484476,49.25731709,96,ee142c95-c78a-4989-a788-d0f55785adc9,1847329.66847662,6318636.04276036
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.59575654,49.25743929,97,db94bc5a-ba11-4272-a7b5-f28f2f7370dc,1847431.16736194,6318656.88545958
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.59331641,49.25703721,98,0e455fa2-b35d-4549-b777-f4c38c122ad4,1847159.53333287,6318588.30600997
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.593596,49.25705264,99,3667604d-0453-45ba-9e1e-1fc08b923d27,1847190.6571493,6318590.93776674
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.59376744,49.25709382,100,cb4e488c-3d9e-468f-abd9-465013632dd6,1847209.7417628,6318597.96147419
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.59382632,49.25733527,101,824134ae-0315-41cd-b08f-9c222f56f0e7,1847216.29625442,6318639.14357765
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.59403039,49.25739562,102,972f8ed5-f100-4743-af35-6950119c41af,1847239.01322291,6318649.43700296
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.59404732,49.25739956,103,3d09273c-e805-4ac1-a25c-1da16506dad5,1847240.89786189,6318650.10901824
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.5943056,49.25740694,104,f6185f5f-a56b-4f4e-9f1c-a5f69894bda7,1847269.64945997,6318651.36776782
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.5944804,49.25731137,105,a5a033c1-a05a-461f-87c1-eff82f1c562b,1847289.10810696,6318635.06714591
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.59524952,49.257492,106,0c3af958-736e-4238-b360-af71829ba544,1847374.72615372,6318665.87580838
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.59592806,49.25741663,107,b7c02906-7078-40cd-a918-a206c28e49da,1847450.260881,6318653.02051653
PU_PU_OM.30184335,30.01.2026 22:39,Ano,cisterna,Brno,Jandáskova,31.01.2026 15:00,Cisterna bude přistavena: Jandáskova 48/50,16.59430376,49.25727139,108,fbbda053-d12f-44f7-bafc-3b1924c81008,1847269.44463211,6318628.24808168
